书名,价格,作者,出版社
现货 算法导论(原书第3版)+思想(第4版)(2册)|3768354,￥160.50,无,无
深入理解高并发 思想教程书籍从入门到精通语言程序设计基础计算机组成CPUlinux内核剖析JVM原理详解教材,￥103.60,无,清华大学出版社
【正版图书 品质保证】方：响应式Spring Reactor 3设计与实现(博文视点出品,￥71.56,知秋 著,电子工业出版社
手记—从实践中学习 欧二强　等编著【正版开发票】,￥37.00,欧二强　等编著,清华大学出版社
"[正版图书]走进世界：HITE6 0软件开发与应用工程师 翁高飞,王敏 清华大学出版社",￥57.00,翁高飞,清华大学出版社
技术开发 武汉厚溥教育科技有限公司　编著【正版开发票】,￥15.00,武汉厚溥教育科技有限公司　编著,清华大学出版社
思想（第4版） [thinking in ],￥75.80,无,无
【正版图书 品质保证】方：响应式RxJava与代码设计实战(博文视点出品) 知秋 著,￥63.52,知秋 著,电子工业出版社
"【新华自营正版】指南：基础知识、类库应用及案例设计 清华开发者书库 彭波,孙一林 编 清华大学出版社",￥73.50,彭波,清华大学出版社
手记——从实践中学习【新华书店，售后无忧】,￥63.17,欧二强,清华大学出版社
【正版图书 品质保证】无难事――详解核心思想与技术 孙鑫 电子工业出版社 978,￥151.15,孙鑫,电子工业出版社
【正版直发】方：响应式RxJava与代码设计实战 知秋 9787121364174 电子,￥79.00,知秋,电子工业出版社
 Web实操：基于IntelliJ IDEA、JDBC、Servlet、Ajax、Nex,￥105.00,无,无
【现货直发】入门与应用 孟丽丝、张雪 清华大学出版社 9787302478454,￥79.80,孟丽丝、张雪,清华大学出版社
【正版图书 品质保证】从入门到精通语言程序设计电脑程序员计算机软件入,￥61.20,不详,广东人民出版社
"风格 (美)弗穆兰 等著,曹铁鸥 译 人民邮电出版社",￥75.00,(美)弗穆兰 等著{DouHao}曹铁鸥 译,人民邮电出版社
【正版直发】实战宝典(配)(开发宝典丛书) 刘新 9787302351702 清华大学出,￥99.80,刘新,清华大学出版社
"风格(美)弗穆兰 等著,曹铁鸥 译人民邮电出版社9787115177681",￥55.00,(美)弗穆兰 等著,人民邮电出版社
Electron跨平台开发实战（Web开发经典丛书） 语言 程序设计 Electron,￥68.50,无,无
正版 疯狂讲义 第5版 教程书籍 从入门到精通 语言程序设计 ,￥109.30,无,电子工业出版社
"走进世界：HITE6.0软件开发与应用工程师 翁高飞,王敏 编【正版开发票】",￥46.00,翁高飞,清华大学出版社
【正版图书 品质保证】开课吧 入门：任务式学习指南 开课吧组编安志刚李伟杰 编著 机械工,￥51.48,开课吧组编安志刚李伟杰 编著,机械工业出版社
"轻松学 赵振方, 陈景霞, 王慧等编著 化学工业出版社",￥32.56,赵振方,化学工业出版社
"【正版图书 品质保证】指南：基础知识、类库应用及案例设计清华开发者书库 彭波,孙一林 编",￥72.62,彭波,清华大学出版社
自然语言处理入门 HanLP作者何晗 NLP书籍Python/代码实现人工智能机器学习语音识,￥50.00,无,无
走进世界(HITE6.0软件开发与应用工程师)9787302511991清华大学武汉厚溥,￥53.82,-,清华大学出版社
无难事 详解核心思想与技术 语言 孙鑫 正版,￥141.60,孙鑫,电子工业出版社
"基础、应用与实例(韩)徐明浩 著,武传海 译人民邮电出版社9787115136459",￥28.00,(韩)徐明浩 著,人民邮电出版社
方论 响应式rxjava与代码设计实战 语言 知秋 正版,￥62.90,无,无
"规范（美）高斯林（Gosling,J.）等编著,陈宗斌,沈金河 译中国电力出版社",￥266.00,（美）高斯林（Gosling,中国电力出版社
从入门到精通（第5版）,￥48.80,无,无
网络(第4版),￥37.23,ElliotteRustyHarold,中国电力出版社
 Web实操：基于IntelliJ IDEA、JDBC、Servlet、Ajax、Nex(博文视点出品),￥138.00,高洪岩,电子工业出版社
深入解析虚拟机HotSpot,￥79.00,杨易,机械工业出版社
高并发详解:并发核心库+多线程设计 套装共2册,￥188.00,汪文君,机械工业出版社
剑指Offer 名企面试官精讲典型题 第2版  python c 程序员面试宝典 off,￥30.20,何海涛著,电子工业出版社
并发实战 盖茨 著 核心技术 从入门到精通 入门 教程 ja,￥52.98,无,无
高并发详解：深入理解并发核心库,￥99.00,汪文君,机械工业出版社
并发的艺术 方腾飞 魏鹏 程晓明 核心技术系列,￥42.48,方腾飞 等,机械工业出版社
异步实战异步+并发（京东套装共2册）,￥79.00,翟陆续,机械工业出版社
疯狂讲义 第5版含DVD光盘一张 李刚 语言程序设计 计算机书籍入门自学教程教材,￥67.50,无,电子工业出版社
深入理解高并发,￥140.60,黄俊,清华大学出版社
 EE企业级应用开发教程(Spring+Spring MVC+MyBatis,￥35.40,无,无
深入理解虚拟机 异步实战 套装共2册,￥208.00,周志明,机械工业出版社
